Entity, Attribute, Error Message
DVD, regioncode, text missing: regioncode B0000A0I94
DVD, regioncode, text missing: regioncode B0001ELYGO
DVD, runningtime, text missing: runningtime B000BNTAWK
DVD, runningtime, text missing: runningtime B00005NYAY
DVD, runningtime, text missing: runningtime B00005U0GD
DVD, regioncode, text missing: regioncode B000BITGHE
DVD, runningtime, text missing: runningtime B00062ICW0
DVD, runningtime, text missing: runningtime B0006O9MWW
DVD, regioncode, text missing: regioncode B00005R7UI
DVD, runningtime, text missing: runningtime B000BFH6HY
DVD, runningtime, text missing: runningtime B00005JDG7
DVD, regioncode, text missing: regioncode B000176N1W
DVD, runningtime, text missing: runningtime B0006BLIYK
DVD, regioncode, text missing: regioncode B0001KZN74
DVD, regioncode, text missing: regioncode B00007KGAO
DVD, regioncode, text missing: regioncode B0006JJFG0
DVD, runningtime, text missing: runningtime B00005TQ47
DVD, runningtime, text missing: runningtime B00063F7OK
DVD, regioncode, text missing: regioncode B0001NNLQ6
DVD, regioncode, text missing: regioncode B00011MK7Y
DVD, regioncode, text missing: regioncode B0007UPSZ0
DVD, regioncode, text missing: regioncode B0000D7ZDY
DVD, runningtime, text missing: runningtime B0000CCNU1
DVD, regioncode, text missing: regioncode B0002OWWSW
DVD, regioncode, text missing: regioncode B0000PCBFW
DVD, regioncode, text missing: regioncode B0002W19UG
DVD, runningtime, text missing: runningtime B000BWPQZ6
DVD, runningtime, text missing: runningtime B0001NDIZ0
DVD, runningtime, text missing: runningtime B000A5CEPO
DVD, regioncode, text missing: regioncode B0002A4J3W
DVD, runningtime, text missing: runningtime B000079DF7
DVD, regioncode, text missing: regioncode B00005JRTD
DVD, regioncode, text missing: regioncode B0000V76CE
DVD, runningtime, text missing: runningtime B0006ICFI6
DVD, regioncode, text missing: regioncode B0009QYRY0
DVD, regioncode, text missing: regioncode B000683TJK
DVD, regioncode, text missing: regioncode B000640P64
DVD, regioncode, text missing: regioncode B0001OGUJA
DVD, regioncode, text missing: regioncode B0007N4MRW
DVD, regioncode, text missing: regioncode B0000CDUJT
DVD, regioncode, text missing: regioncode B0000ULZQ8
DVD, regioncode, text missing: regioncode B0001CVJ3O
DVD, runningtime, text missing: runningtime B000A7KJP4
DVD, regioncode, text missing: regioncode B000BDIW9M
DVD, regioncode, text missing: regioncode B000BZFPF4
DVD, regioncode, text missing: regioncode B0007MSOZE
DVD, regioncode, text missing: regioncode B0007DDPWU
DVD, regioncode, text missing: regioncode B0000DKQWR
DVD, regioncode, text missing: regioncode B0001KZO00
DVD, regioncode, text missing: regioncode B0000ARNCR
DVD, runningtime, text missing: runningtime B00005QIUL
DVD, runningtime, text missing: runningtime B000A3VTXY
DVD, runningtime, text missing: runningtime B000BYNCZA
DVD, runningtime, text missing: runningtime B0000AZSWW
DVD, regioncode, text missing: regioncode B0006675GA
DVD, regioncode, text missing: regioncode B0006PTT6K
DVD, regioncode, text missing: regioncode B0009X3334
DVD, regioncode, text missing: regioncode B00068C7VQ
DVD, regioncode, text missing: regioncode B000B9PW76
DVD, regioncode, text missing: regioncode B000BZFPNQ
DVD, regioncode, text missing: regioncode B000160Z76
DVD, regioncode, text missing: regioncode B000679QWK
DVD, regioncode, text missing: regioncode B00009PBJA
DVD, regioncode, text missing: regioncode B0009QYQ8W
DVD, regioncode, text missing: regioncode B000CFWGFK
DVD, regioncode, text missing: regioncode B000063DMI
DVD, regioncode, text missing: regioncode B00008XUU5
DVD, regioncode, text missing: regioncode B000B9EYKM
DVD, regioncode, text missing: regioncode B0000C6IZ0
DVD, regioncode, text missing: regioncode B0000TEUO8
PRODUCT, salesrank, attribute missing: salesrank B00005YRYN
